Site Name,Address,City,ZIP Code,Siren,Radius,Mounted Height,Land Use Description,Mapped Location
William A Pitts Park,299 TUSCULUM RD,ANTIOCH,37013,508,14700,50,PARK OR RECREATION,POINT (-86.706479 36.056233)
Elm Hill Access,3224 BELL RD,NASHVILLE,37214,508,14700,50,RECORDING STUDIO,POINT (-86.629964 36.126468)
Hillwood Pumping Station,231 HILLWOOD BLVD,NASHVILLE,37205,Eclipse 8,4400,50,SINGLE FAMILY,POINT (-86.862598 36.127784)
Crieve Hall Elementary,498 HOGAN RD,NASHVILLE,37220,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.757179 36.065334)
Oak Hill - Overton High School,4820 FRANKLIN PIKE,NASHVILLE,37220,Eclipse 8,4400,50,VACANT RESIDENTIAL LAND,POINT (-86.772741 36.07867)
Napier Enhanced Option Elementary School,67 FAIRFIELD AVE,NASHVILLE,37210,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.756866 36.150127)
Seven Oaks Park,3474 MCGAVOCK PIKE,NASHVILLE,37217,508,14700,50,PARK OR RECREATION,POINT (-86.695993 36.10963)
Apollo Jr High School,631 RICHARDS RD,ANTIOCH,37013,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.665027 36.067173)
Ashland City Hwy,ASHLAND CITY HWY & OHB,NASHVILLE,,508,14700,50,RIGHT OF WAY,POINT (-86.921291 36.21127)
McCabe Park,4601 MURPHY RD,NASHVILLE,37209,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.842651 36.141191)
Hadley Park,1025 28TH AVE N,NASHVILLE,37209,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.820478 36.165617)
Rosebank Elementary,1012 PRESTON DR,NASHVILLE,37206,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.719248 36.184157)
Glenview Elementary,1020 PATRICIA DR,NASHVILLE,37217,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.706604 36.127317)
Cedar Hill Park,860 OLD HICKORY BLVD,NASHVILLE,37207,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.748106 36.269714)
Maxwell Elementary,5535 BLUE HOLE RD,ANTIOCH,37013,Eclipse 8,4400,50,VACANT RURAL LAND,POINT (-86.673643 36.03152)
Ted Rhodes Golf Course,720 MAINSTREAM DR,NASHVILLE,37228,Eclipse 8,4400,50,GOLF COURSE/DRIVING RANGE,POINT (-86.817641 36.194141)
Harpeth Valley Elementary,7840 LEARNING LN,NASHVILLE,37221,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.957236 36.045324)
Joelton Elementary,7107 WHITES CREEK PIKE,JOELTON,37080,508,14700,50,SCHOOL OR COLLEGE,POINT (-86.866331 36.316156)
Hillsboro High School,3812 HILLSBORO PIKE,NASHVILLE,37215,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.812893 36.106993)
Peay Memorial Park,111 MEMORIAL DR,GOODLETTSVILLE,37072,508,14700,50,VACANT RESIDENTIAL LAND,POINT (-86.718285 36.321052)
Fannie May Dees Park,2401 BLAKEMORE AVE,NASHVILLE,37212,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.805511 36.136116)
McCrory Ln,MCCRORY LN & NEWSOME STATION RD,NASHVILLE,37215,508,14700,50,RIGHT OF WAY,POINT (-87.022365 36.079)
Arena,501 BROADWAY,NASHVILLE,37203,Eclipse 8,4400,50,"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK",POINT (-86.778618 36.1601)
Granberry Elementary,5501 HILL RD,BRENTWOOD,37027,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.753006 36.044835)
Fire Station 20,1630 HARDING PL,NASHVILLE,37215,508,14700,50,FIRE STATION,POINT (-86.826798 36.092036)
Old Hickory Beach Park,1002 INDUSTRIAL DR,OLD HICKORY,37138,508,14700,50,LIGHT MANUFACTURING,POINT (-86.668884 36.277161)
Edwin Warner Park,2547 OLD HICKORY BLVD,NASHVILLE,37221,508,14700,50,PARK OR RECREATION,POINT (-86.897641 36.05337)
William Whitfield Park,5101 EDMONDSON PIKE,NASHVILLE,37211,Eclipse 8,4400,50,PARK OR RECREATION,POINT (-86.738525 36.065901)
West End Middle School,210 ELMINGTON AVE,NASHVILLE,37205,Eclipse 8,4400,50,SCHOOL OR COLLEGE,POINT (-86.825294 36.131861)
Conference Drive @ Vietnam Veterans,0 CONFERENCE DR,GOODLETTSVILLE,37072,508,14700,50,VACANT COMMERCIAL LAND,POINT (-86.694702 36.306705)
Greer Rd Water Tank,1770 UNION HILL RD,GOODLETTSVILLE,37072,508,14700,50,"METRO OTHER THAN OFC, SCHOOL,HOSP, OR PARK",POINT (-86.785535 36.337699)
Coley Davis @ Harpeth Springs Dr.,3000 HARPETH SPRINGS DR,NASHVILLE,37221,508,14700,50,RIGHT OF WAY,POINT (-86.976254 36.073439)
Anderson Rd,ANDERSON RD  & COUCHVILLE PIKE,HERMITAGE,37076,508,14700,50,PARK OR RECREATION,POINT (-86.601801 36.107477)
